ID, Categories, Name,Latitude,Longitude,Accessibility_Level,Accessibility_rating 
1,Railway Station,Flemington Bridge Railway Station,-37.78816459,144.9392778,,
2,Church,St Francis Church,-37.81188478,144.9624226,,
3,Church,Wesley Church,-37.81015764,144.9681682,,
4,Church,St Augustines Church,-37.81697414,144.954862,,
5,Church,St James Church,-37.81012812,144.9524686,,
6,Church,St Mary's Anglican Church,-37.80316637,144.9537615,,
7,Church,Romanian Orthodox,-37.80523073,144.9669864,,
8,Church,Welsh Presbyterian Church,-37.81044788,144.9598733,,
9,Church,Church of Christ,-37.81045241,144.9638892,,
10,Church,Scots Church,-37.81456878,144.9685511,,
11,Church,St Michael's Uniting Church,-37.81438513,144.969174,,
12,Church,Greek Orthodox Church,-37.80880647,144.9782591,,
13,Church,St Peter's Eastern Hill,-37.80970867,144.9752592,,
14,Church,Lutheran Trinity Church,-37.81097571,144.9757295,,
15,Church,Holy Trinity,-37.81406671,144.9831973,,
16,Church,St Johns Lutheran Church,-37.82093997,144.9671211,,
17,Church,North Melbourne Uniting,-37.80355385,144.9476715,,
18,Church,Melbourne Unitarian Church,-37.81144878,144.9846649,,
19,Church,All Nations Uniting Church,-37.79591553,144.9689811,,
20,Church,Our Lady of Lebanon Church,-37.80257665,144.9693347,,
21,Church,St Michaels,-37.79405127,144.9453995,,
22,Church,Ukranian Catholic Cathedral,-37.79630846,144.9443135,,
23,Church,St Alban Anglican Church,-37.79421695,144.9416145,,
24,Church,Christ Church Kensington,-37.79321095,144.9272957,,
25,Church,Holy Rosary,-37.79480874,144.9283621,,
26,Church,Collins Street Baptist Church,-37.81470119,144.9680725,,
27,Church,St Thomas Aquinas Church,-37.83530769,144.9768091,,
28,Church,South Yarra Presbyterian Church,-37.84074736,144.985627,,
29,Church,The Parish of Christ Church South Yarra,-37.83862705,144.9860094,,
30,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.785786,144.947581,,
31,Major Sports & Recreation Facility,Carlton Football Club,-37.78408644,144.9619678,,
32,Major Sports & Recreation Facility,Visy Park,-37.78343039,144.9619826,,
33,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639,,
34,Major Sports & Recreation Facility,Flemington Racecourse,-37.79080826,144.912143,,
35,Railway Station,Southern Cross Railway Station,-37.81816331,144.9529447,,
36,Railway Station,Flagstaff Railway Station,-37.81223565,144.9563182,,
37,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),-37.81949216,144.9834029,,
38,Outdoor Recreation Facility (Zoo/ Golf Course),Melbourne Zoo,-37.78444493,144.9513712,,
39,Art Gallery/Museum,Polly Woodside,-37.82425743,144.9534781,,
40,Art Gallery/Museum,Australian Centre for Contemporary Art,-37.82660454,144.9672529,,
41,Church,St Patricks Cathedral,-37.8101141,144.9759015,,
42,Art Gallery/Museum,Victorian Arts Centre,-37.82199473,144.9688373,,
43,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.81748314,144.969899,,
44,Art Gallery/Museum,Thoroughbred Racing Gallery,-37.81886627,144.9839701,,
45,Major Sports & Recreation Facility,AAMI Park,-37.82472527,144.983803,,
46,Art Gallery/Museum,Fox Classic Car Collection,-37.82137443,144.9484967,,
47,Outdoor Recreation Facility (Zoo/ Golf Course),Wonderland Park,-37.81169454,144.9368337,,
48,Major Sports & Recreation Facility,Rod Laver Arena,-37.82204561,144.9784872,,
49,Major Sports & Recreation Facility,Melbourne Park,-37.8209086,144.9787358,,
50,Major Sports & Recreation Facility,Margaret Court Arena,-37.82132521,144.9775911,,
51,Major Sports & Recreation Facility,Hisense Arena,-37.82311,144.9818348,,
52,Art Gallery/Museum,Melbourne Museum,-37.80355181,144.9716907,,
53,Railway Station,Parliament Railway Station,-37.81160618,144.9730173,,
54,Railway Station,Richmond Railway Station (Richmond) - Train stop,-37.82389927,144.9894008,,
55,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,-37.81656518,144.983641,,
56,Railway Station,Macaulay Railway Station (North Melbourne) - Train stop,-37.794964,144.9361908,,
57,Railway Station,Kensington Railway Station,-37.79391401,144.9307102,,
58,Railway Station,South Kensington Railway Station,-37.79972705,144.9258377,,
59,Railway Station,Royal Park Railway Station,-37.78126843,144.9516678,,
60,Art Gallery/Museum,National Sports Museum,-37.81895449,144.9846698,,
61,Railway Station,Parliament Railway Station,-37.81215728,144.973742,,
62,Railway Station,Parliament Railway Station,-37.81276211,144.9734338,,
63,Railway Station,Parliament Railway Station,-37.80957622,144.9723301,,
64,Railway Station,Flagstaff Railway Station,-37.81163844,144.9561187,,
65,Railway Station,Melbourne Central Railway Station,-37.80977593,144.9626701,,
66,Railway Station,Melbourne Central Railway Station,-37.81059924,144.9616906,,
67,Railway Station,Melbourne Central Railway Station,-37.810893,144.9631007,,
68,Railway Station,Flemington Racecourse Railway Station,-37.78691058,144.9081907,,
69,Railway Station,Showgrounds Railway Station (Flemington),-37.78346512,144.9149026,,
70,Railway Station,Newmarket Railway Station,-37.78727262,144.92906,,
71,Outdoor Recreation Facility (Zoo/ Golf Course),Riverside Park,-37.79483753,144.9156071,,
72,Outdoor Recreation Facility (Zoo/ Golf Course),Melbourne Showgrounds,-37.78230979,144.9108221,,
73,Art Gallery/Museum,Sinclair's Cottage,-37.81454075,144.980555,,
74,Art Gallery/Museum,Victoria Police Museum,-37.82221828,144.95404,,
75,Art Gallery/Museum,Immigration Museum,-37.81917988,144.9604268,,
76,Church,St Pauls Cathedral,-37.8169549,144.9676816,,
77,Railway Station,Flinders Street Railway Station,-37.8179063,144.9670648,,
78,Art Gallery/Museum,Fire Services Museum Victoria,-37.80857613,144.9753737,,
79,Art Gallery/Museum,The Ian Potter Museum Of Art,-37.79739396,144.9641567,,
80,Art Gallery/Museum,Koorie Heritage Trust Inc,-37.81338543,144.9540279,,
81,Railway Station,Melbourne Central Railway Station,-37.8100167,144.9637893,,
82,Major Sports & Recreation Facility,North Melbourne Recreation Centre (Aquatic),-37.799947,144.9432908,,
83,Major Sports & Recreation Facility,City Baths,-37.80715854,144.9631898,,
84,Railway Station,North Melbourne Railway Station,-37.80738236,144.9424298,,
85,Art Gallery/Museum,Cooks' Cottage,-37.81446049,144.9794713,,
86,Aquarium,Melbourne Aquarium,-37.82096278,144.9584257,,
87,Major Sports & Recreation Facility,Westpac Centre,-37.82424569,144.9797203,,
88,Art Gallery/Museum,Royal Exhibition Building,-37.80460262,144.9715219,,
89,Major Sports & Recreation Facility,Etihad Stadium,-37.81617605,144.9474963,,
90,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),-37.81761073,144.9690704,,
91,Art Gallery/Museum,The Museum Of Australian Chinese History,-37.81076861,144.9692339,,
92,Cafes and Restaurants,Donoghue's ,-37.8134766,144.9560169,,
93,Cafes and Restaurants,Subway,-37.81592157,144.9634979,,
94,Cafes and Restaurants,La Di Da,-37.81551353,144.9556244,,
95,Cafes and Restaurants,Riverside Deli & Coffee House,-37.81974184,144.9582721,,
96,Cafes and Restaurants,Amigos Hardware Lane,-37.8131434,144.9608667,,
97,Cafes and Restaurants,Degani At Urban Workshop,-37.8091842,144.9707325,,
98,Cafes and Restaurants,Alice Nevins,-37.81724878,144.9665517,,
99,Cafes and Restaurants,Blu Point Caffe,-37.80822377,144.9664575,,
100,Cafes and Restaurants,Sea Salt,-37.81760781,144.9656264,,
101,Cafes and Restaurants,The Attic Artisan Bread And Cafe,-37.81571393,144.9561073,,
102,Cafes and Restaurants,Cafe On Collins,-37.81662708,144.9638231,,
103,Cafes and Restaurants,Jung Gun Restaurant,-37.8134766,144.9560169,,
104,Cafes and Restaurants,Father John Cafe,-37.81012699,144.9720594,,
105,Cafes and Restaurants,1932 Cafe & Restaurant,-37.81528474,144.9661258,,
106,Cafes and Restaurants,Hudsons Elizabeth Street,-37.81591326,144.9641934,,
107,Cafes and Restaurants,Feast @ 520,-37.81780327,144.9572629,,
108,Cafes and Restaurants,Sakura Kaiten Sushi,-37.81309819,144.9716953,,
109,Cafes and Restaurants,Koko Black Chocolate,-37.81355886,144.9718392,,
110,Cafes and Restaurants,Entrecote City,-37.8139675,144.9702813,,
111,Cafes and Restaurants,Harry's At Stamford ,-37.8136886,144.9697676,,
112,Cafes and Restaurants,Healthy Nibbles Cafe,-37.81005686,144.9707149,,
113,Cafes and Restaurants,Earl Canteen,-37.81902044,144.9557275,,
114,Cafes and Restaurants,Little Colin,-37.81638558,144.9600859,,
115,Cafes and Restaurants,Taiwan Cafe,-37.81185964,144.9645317,,
116,Cafes and Restaurants,Footlights Restaurant,-37.81098009,144.96853,,
117,Cafes and Restaurants,Lily Blacks,-37.81221617,144.972451,,
118,Cafes and Restaurants,Mediterranean Deli,-37.81358646,144.9707087,,
119,Cafes and Restaurants,Rustica Canteen,-37.81146107,144.9598612,,
120,Cafes and Restaurants,Hudson's Coffee,-37.81012699,144.9720594,,
121,Cafes and Restaurants,Red Silks Restaurant & Bar,-37.8124312,144.9672768,,
122,Cafes and Restaurants,Movida Aqui,-37.81494883,144.9587607,,
123,Cafes and Restaurants,Ratee Thai,-37.81724878,144.9665517,,
124,Cafes and Restaurants,Om Vegetarian,-37.81584476,144.9663304,,
125,Cafes and Restaurants,Seven Star Korea,-37.8134766,144.9560169,,
126,Cafes and Restaurants,Tipo 00,-37.81358648,144.9619926,,
127,Cafes and Restaurants,Coffea Coffee,-37.80745984,144.9572395,,
128,Cafes and Restaurants,Spicy Korea,-37.81802782,144.9549054,,
129,Cafes and Restaurants,Tazio Birraria & Pizzeria,-37.81430616,144.9726281,,
130,Cafes and Restaurants,Merchant Osteria Veneta,-37.81853877,144.9581185,,
131,Cafes and Restaurants,Cafe Chinotto,-37.81784465,144.9699175,,
132,Cafes and Restaurants,Blue Bag,-37.81501535,144.9715746,,
